Provider type,State/territory of delivery location,Age group,Previous highest education level,Level of education, Year, 2019, 2020, 2021, 2022, 2023
Community education providers,South Australia,15 to 19 years,Certificate III,Non-AQF level,,-,-,5,-,5
Community education providers,South Australia,15 to 19 years,Year 12,Totals,,190,160,205,190,175
Community education providers,South Australia,15 to 19 years,Year 12,Diploma,,5,5,-,-,-
Community education providers,South Australia,15 to 19 years,Year 12,Certificate IV,,10,5,10,5,5
Community education providers,South Australia,15 to 19 years,Year 12,Certificate III,,160,130,170,155,130
Community education providers,South Australia,15 to 19 years,Year 12,Certificate II,,15,15,10,15,15
Community education providers,South Australia,15 to 19 years,Year 12,Certificate I,,-,5,5,5,10
Community education providers,South Australia,15 to 19 years,Year 12,Non-AQF level,,-,5,10,10,10
Community education providers,South Australia,15 to 19 years,Year 11,Totals,,365,365,495,465,435
Community education providers,South Australia,15 to 19 years,Year 11,Diploma,,5,-,-,5,-
Community education providers,South Australia,15 to 19 years,Year 11,Certificate IV,,-,-,-,5,5
Community education providers,South Australia,15 to 19 years,Year 11,Certificate III,,250,280,405,290,325
Community education providers,South Australia,15 to 19 years,Year 11,Certificate II,,110,75,80,115,85
Community education providers,South Australia,15 to 19 years,Year 11,Certificate I,,5,5,5,50,20
Community education providers,South Australia,15 to 19 years,Year 11,Non-AQF level,,-,-,5,5,5
Community education providers,South Australia,15 to 19 years,Certificate II,Totals,,20,40,35,105,100
Community education providers,South Australia,15 to 19 years,Certificate II,Certificate III,,15,25,30,60,75
Community education providers,South Australia,15 to 19 years,Certificate II,Certificate II,,5,10,5,45,25
Community education providers,South Australia,15 to 19 years,Certificate II,Certificate I,,-,5,-,-,-
Community education providers,South Australia,15 to 19 years,Year 10,Totals,,525,650,760,"1,045","1,090"
Community education providers,South Australia,15 to 19 years,Year 10,Certificate IV,,5,-,-,-,-
Community education providers,South Australia,15 to 19 years,Year 10,Certificate III,,345,360,480,625,720
Community education providers,South Australia,15 to 19 years,Year 10,Certificate II,,165,200,225,355,330
Community education providers,South Australia,15 to 19 years,Year 10,Certificate I,,5,85,50,65,40
Community education providers,South Australia,15 to 19 years,Certificate I,Totals,,5,5,5,5,5
Community education providers,South Australia,15 to 19 years,Certificate I,Certificate III,,-,-,-,5,-
Community education providers,South Australia,15 to 19 years,Certificate I,Certificate II,,-,-,5,-,-
Community education providers,South Australia,15 to 19 years,Miscellaneous education,Totals,,-,5,5,-,5
Community education providers,South Australia,15 to 19 years,Year 9 or lower,Totals,,240,355,505,535,575
Community education providers,South Australia,15 to 19 years,Year 9 or lower,Certificate III,,105,165,355,275,345
Community education providers,South Australia,15 to 19 years,Year 9 or lower,Certificate II,,130,95,50,50,80
Community education providers,South Australia,15 to 19 years,Year 9 or lower,Certificate I,,-,95,100,210,150
Community education providers,South Australia,15 to 19 years,Not known,Totals,,105,185,385,295,275
Community education providers,South Australia,15 to 19 years,Not known,Certificate III,,35,95,140,105,115
Community education providers,South Australia,15 to 19 years,Not known,Certificate II,,60,85,195,120,100
Community education providers,South Australia,15 to 19 years,Not known,Certificate I,,10,5,55,65,60
Community education providers,South Australia,15 to 19 years,Not known,Non-AQF level,,-,-,-,5,-
Community education providers,Western Australia,Totals,,,,"2,010","2,105","2,715","3,145","2,920"
Community education providers,Western Australia,15 to 19 years,Totals,,,"2,010","2,105","2,715","3,145","2,920"
Community education providers,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Totals,,5,-,-,-,-
Community education providers,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Certificate III,,5,-,-,-,-
Community education providers,Western Australia,15 to 19 years,Diploma,Totals,,5,-,-,-,10
Community education providers,Western Australia,15 to 19 years,Diploma,Certificate III,,5,-,-,-,-
Community education providers,Western Australia,15 to 19 years,Diploma,Non-AQF level,,-,-,-,-,10
Community education providers,Western Australia,15 to 19 years,Certificate IV,Totals,,10,-,-,-,30
Community education providers,Western Australia,15 to 19 years,Certificate IV,Certificate IV,,5,-,-,-,-
Community education providers,Western Australia,15 to 19 years,Certificate IV,Certificate III,,5,-,-,-,-
Community education providers,Western Australia,15 to 19 years,Certificate IV,Non-AQF level,,5,-,-,-,30
Community education providers,Western Australia,15 to 19 years,Certificate III,Totals,,45,20,5,20,60
Community education providers,Western Australia,15 to 19 years,Certificate III,Certificate IV,,15,5,-,5,-
Community education providers,Western Australia,15 to 19 years,Certificate III,Certificate III,,20,15,-,-,5
Community education providers,Western Australia,15 to 19 years,Certificate III,Certificate II,,-,5,5,10,5
Community education providers,Western Australia,15 to 19 years,Certificate III,Non-AQF level,,10,-,-,5,50
Community education providers,Western Australia,15 to 19 years,Year 12,Totals,,385,285,205,240,350
Community education providers,Western Australia,15 to 19 years,Year 12,Certificate IV,,10,5,5,-,-
Community education providers,Western Australia,15 to 19 years,Year 12,Certificate III,,170,95,20,15,25
Community education providers,Western Australia,15 to 19 years,Year 12,Certificate II,,45,20,10,20,10
Community education providers,Western Australia,15 to 19 years,Year 12,Certificate I,,-,5,5,-,-
Community education providers,Western Australia,15 to 19 years,Year 12,Non-AQF level,,150,160,170,200,315
Community education providers,Western Australia,15 to 19 years,Year 11,Totals,,345,425,340,330,530
Community education providers,Western Australia,15 to 19 years,Year 11,Certificate III,,70,40,40,50,30
Community education providers,Western Australia,15 to 19 years,Year 11,Certificate II,,240,335,265,220,235
Community education providers,Western Australia,15 to 19 years,Year 11,Certificate I,,35,45,35,40,55
Community education providers,Western Australia,15 to 19 years,Year 11,Non-AQF level,,-,-,-,15,205
Community education providers,Western Australia,15 to 19 years,Certificate II,Totals,,45,30,25,20,40
Community education providers,Western Australia,15 to 19 years,Certificate II,Certificate III,,30,10,5,5,10
Community education providers,Western Australia,15 to 19 years,Certificate II,Certificate II,,10,20,15,10,10
Community education providers,Western Australia,15 to 19 years,Certificate II,Certificate I,,5,-,5,-,-
Community education providers,Western Australia,15 to 19 years,Certificate II,Non-AQF level,,-,-,-,-,15
Community education providers,Western Australia,15 to 19 years,Year 10,Totals,,490,505,645,650,740
Community education providers,Western Australia,15 to 19 years,Year 10,Certificate III,,125,90,95,85,75
Community education providers,Western Australia,15 to 19 years,Year 10,Certificate II,,265,335,410,410,395
Community education providers,Western Australia,15 to 19 years,Year 10,Certificate I,,95,80,140,150,135
Community education providers,Western Australia,15 to 19 years,Year 10,Non-AQF level,,-,-,-,5,130
Community education providers,Western Australia,15 to 19 years,Certificate I,Totals,,25,15,20,20,10
Community education providers,Western Australia,15 to 19 years,Certificate I,Certificate III,,5,5,5,-,-
Community education providers,Western Australia,15 to 19 years,Certificate I,Certificate II,,15,10,15,20,5
Community education providers,Western Australia,15 to 19 years,Certificate I,Certificate I,,10,-,-,-,5
Community education providers,Western Australia,15 to 19 years,Miscellaneous education,Totals,,10,65,325,435,105
Community education providers,Western Australia,15 to 19 years,Miscellaneous education,Certificate II,,10,30,10,15,15
Community education providers,Western Australia,15 to 19 years,Miscellaneous education,Certificate I,,-,10,-,25,20
Community education providers,Western Australia,15 to 19 years,Miscellaneous education,Non-AQF level,,-,20,310,390,70
Community education providers,Western Australia,15 to 19 years,Year 9 or lower,Totals,,345,475,690,885,930
Community education providers,Western Australia,15 to 19 years,Year 9 or lower,Certificate III,,30,35,35,35,35
Community education providers,Western Australia,15 to 19 years,Year 9 or lower,Certificate II,,145,205,355,530,525
Community education providers,Western Australia,15 to 19 years,Year 9 or lower,Certificate I,,165,235,300,320,335
Community education providers,Western Australia,15 to 19 years,Year 9 or lower,Non-AQF level,,-,-,-,-,35
Community education providers,Western Australia,15 to 19 years,Not known,Totals,,300,280,460,540,110
Community education providers,Western Australia,15 to 19 years,Not known,Certificate III,,5,-,35,35,30
Community education providers,Western Australia,15 to 19 years,Not known,Certificate II,,35,20,15,15,15
Community education providers,Western Australia,15 to 19 years,Not known,Certificate I,,15,15,55,25,10
Community education providers,Western Australia,15 to 19 years,Not known,Non-AQF level,,240,250,355,465,55
Community education providers,Tasmania,Totals,,,,115,15,160,20,10
Community education providers,Tasmania,15 to 19 years,Totals,,,115,15,160,20,10
Community education providers,Tasmania,15 to 19 years,Certificate III,Totals,,-,-,15,15,-
Community education providers,Tasmania,15 to 19 years,Certificate III,Non-AQF level,,-,-,15,15,-
Community education providers,Tasmania,15 to 19 years,Year 12,Totals,,10,5,30,-,5
Community education providers,Tasmania,15 to 19 years,Year 12,Certificate III,,10,-,5,-,5
Community education providers,Tasmania,15 to 19 years,Year 12,Non-AQF level,,-,-,25,-,-
Community education providers,Tasmania,15 to 19 years,Year 11,Totals,,40,-,50,-,-
Community education providers,Tasmania,15 to 19 years,Year 11,Certificate III,,40,-,-,-,-
Community education providers,Tasmania,15 to 19 years,Year 11,Non-AQF level,,-,-,50,-,-
Community education providers,Tasmania,15 to 19 years,Year 10,Totals,,10,-,35,-,-
Community education providers,Tasmania,15 to 19 years,Year 10,Certificate III,,5,-,-,-,-
Community education providers,Tasmania,15 to 19 years,Year 10,Certificate II,,5,-,-,-,-
Community education providers,Tasmania,15 to 19 years,Year 10,Non-AQF level,,-,-,35,-,-
Community education providers,Tasmania,15 to 19 years,Year 9 or lower,Totals,,30,-,-,-,-
Community education providers,Tasmania,15 to 19 years,Year 9 or lower,Certificate III,,25,-,-,-,-
Community education providers,Tasmania,15 to 19 years,Not known,Totals,,25,10,25,-,-
Community education providers,Tasmania,15 to 19 years,Not known,Certificate III,,25,10,-,-,-
Community education providers,Tasmania,15 to 19 years,Not known,Non-AQF level,,-,-,20,-,-
Community education providers,Northern Territory,Totals,,,,105,60,30,50,45
Community education providers,Northern Territory,15 to 19 years,Totals,,,105,60,30,50,45
Community education providers,Northern Territory,15 to 19 years,Certificate III,Totals,,10,5,-,-,5
Community education providers,Northern Territory,15 to 19 years,Certificate III,Certificate II,,-,-,-,-,5
Community education providers,Northern Territory,15 to 19 years,Certificate III,Non-AQF level,,10,-,-,-,-
Community education providers,Northern Territory,15 to 19 years,Year 12,Totals,,40,5,10,10,5
Community education providers,Northern Territory,15 to 19 years,Year 12,Certificate II,,5,-,5,-,-
Community education providers,Northern Territory,15 to 19 years,Year 12,Certificate I,,-,-,5,-,-
Community education providers,Northern Territory,15 to 19 years,Year 12,Non-AQF level,,30,-,-,5,-
Community education providers,Northern Territory,15 to 19 years,Year 11,Totals,,20,20,5,15,10
Community education providers,Northern Territory,15 to 19 years,Year 11,Certificate III,,-,5,-,15,10
Community education providers,Northern Territory,15 to 19 years,Year 11,Certificate II,,5,5,-,-,5
Community education providers,Northern Territory,15 to 19 years,Year 11,Non-AQF level,,10,10,-,-,-
Community education providers,Northern Territory,15 to 19 years,Certificate II,Totals,,-,-,-,-,5
Community education providers,Northern Territory,15 to 19 years,Year 10,Totals,,15,25,5,5,5
Community education providers,Northern Territory,15 to 19 years,Year 10,Certificate III,,-,5,-,5,5
Community education providers,Northern Territory,15 to 19 years,Year 10,Certificate II,,5,10,5,-,5
Community education providers,Northern Territory,15 to 19 years,Year 10,Certificate I,,5,-,-,-,-
Community education providers,Northern Territory,15 to 19 years,Year 10,Non-AQF level,,5,10,-,-,-
Community education providers,Northern Territory,15 to 19 years,Year 9 or lower,Totals,,15,5,5,10,5
Community education providers,Northern Territory,15 to 19 years,Year 9 or lower,Certificate II,,10,5,5,-,5
Community education providers,Northern Territory,15 to 19 years,Year 9 or lower,Certificate I,,5,-,-,10,-
Community education providers,Northern Territory,15 to 19 years,Not known,Totals,,5,5,5,5,-
Community education providers,Northern Territory,15 to 19 years,Not known,Certificate III,,-,-,-,5,-
Community education providers,Northern Territory,15 to 19 years,Not known,Non-AQF level,,5,-,5,-,-
Community education providers,Australian Capital Territory,Totals,,,,225,60,40,35,90
Community education providers,Australian Capital Territory,15 to 19 years,Totals,,,225,60,40,35,90
Community education providers,Australian Capital Territory,15 to 19 years,Certificate III,Totals,,15,-,5,5,5
Community education providers,Australian Capital Territory,15 to 19 years,Certificate III,Diploma,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Certificate III,Certificate III,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Certificate III,Certificate I,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 12,Totals,,60,35,20,15,55
Community education providers,Australian Capital Territory,15 to 19 years,Year 12,Diploma,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 12,Certificate IV,,-,5,-,-,5
Community education providers,Australian Capital Territory,15 to 19 years,Year 12,Certificate III,,40,25,20,10,20
Community education providers,Australian Capital Territory,15 to 19 years,Year 12,Certificate II,,-,-,-,5,15
Community education providers,Australian Capital Territory,15 to 19 years,Year 12,Certificate I,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 12,Non-AQF level,,10,5,-,-,20
Community education providers,Australian Capital Territory,15 to 19 years,Year 11,Totals,,25,10,10,5,15
Community education providers,Australian Capital Territory,15 to 19 years,Year 11,Certificate III,,10,10,5,5,10
Community education providers,Australian Capital Territory,15 to 19 years,Year 11,Certificate II,,-,-,5,-,5
Community education providers,Australian Capital Territory,15 to 19 years,Year 11,Certificate I,,10,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 11,Non-AQF level,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Certificate II,Totals,,10,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Certificate II,Certificate I,,10,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 10,Totals,,60,10,5,5,15
Community education providers,Australian Capital Territory,15 to 19 years,Year 10,Certificate III,,15,10,-,5,15
Community education providers,Australian Capital Territory,15 to 19 years,Year 10,Certificate II,,5,-,-,-,5
Community education providers,Australian Capital Territory,15 to 19 years,Year 10,Certificate I,,40,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 10,Non-AQF level,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 9 or lower,Totals,,45,-,-,5,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 9 or lower,Certificate III,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 9 or lower,Certificate II,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Year 9 or lower,Certificate I,,35,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Not known,Totals,,5,-,-,-,-
Community education providers,Australian Capital Territory,15 to 19 years,Not known,Certificate I,,5,-,-,-,-
Community education providers,Offshore,Totals,,,,40,70,65,35,-
Community education providers,Offshore,15 to 19 years,Totals,,,40,70,65,35,-
Community education providers,Offshore,15 to 19 years,Year 12,Totals,,10,10,5,-,-
Community education providers,Offshore,15 to 19 years,Year 12,Certificate IV,,10,10,5,-,-
Community education providers,Offshore,15 to 19 years,Not known,Totals,,25,60,60,35,-
Community education providers,Offshore,15 to 19 years,Not known,Diploma,,-,-,5,5,-
Community education providers,Offshore,15 to 19 years,Not known,Certificate IV,,25,60,55,30,-
Enterprise providers,Totals,,,,,"27,935","13,980","13,810","14,260","14,325"
Enterprise providers,New South Wales,Totals,,,,"4,385","4,070","4,020","4,240","4,095"
Enterprise providers,New South Wales,15 to 19 years,Totals,,,"4,385","4,070","4,020","4,240","4,095"
Enterprise providers,New South Wales,15 to 19 years,Bachelor degree / Higher degree level,Totals,,5,-,5,-,-
Enterprise providers,New South Wales,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,5,-,5,-,-
Enterprise providers,New South Wales,15 to 19 years,Diploma,Totals,,10,10,5,5,5
Enterprise providers,New South Wales,15 to 19 years,Diploma,Certificate III,,10,10,5,5,5
Enterprise providers,New South Wales,15 to 19 years,Certificate IV,Totals,,15,10,25,15,10
Enterprise providers,New South Wales,15 to 19 years,Certificate IV,Diploma,,-,-,5,5,-
Enterprise providers,New South Wales,15 to 19 years,Certificate IV,Certificate IV,,-,-,5,-,-
Enterprise providers,New South Wales,15 to 19 years,Certificate IV,Certificate III,,15,5,15,10,5
Enterprise providers,New South Wales,15 to 19 years,Certificate III,Totals,,140,130,190,195,165
Enterprise providers,New South Wales,15 to 19 years,Certificate III,Diploma,,35,30,35,45,30
Enterprise providers,New South Wales,15 to 19 years,Certificate III,Certificate IV,,10,10,25,25,25
Enterprise providers,New South Wales,15 to 19 years,Certificate III,Certificate III,,75,75,105,100,70
Enterprise providers,New South Wales,15 to 19 years,Certificate III,Certificate II,,5,5,10,15,15
Enterprise providers,New South Wales,15 to 19 years,Certificate III,Non-AQF level,,15,10,20,10,20
Enterprise providers,New South Wales,15 to 19 years,Year 12,Totals,,700,650,770,720,610
Enterprise providers,New South Wales,15 to 19 years,Year 12,Diploma,,20,25,15,15,15
Enterprise providers,New South Wales,15 to 19 years,Year 12,Certificate IV,,10,10,10,10,5
Enterprise providers,New South Wales,15 to 19 years,Year 12,Certificate III,,575,510,600,560,465
Enterprise providers,New South Wales,15 to 19 years,Year 12,Certificate II,,85,105,130,130,110
Enterprise providers,New South Wales,15 to 19 years,Year 12,Non-AQF level,,10,5,10,10,20
Enterprise providers,New South Wales,15 to 19 years,Year 11,Totals,,835,840,775,915,880
Enterprise providers,New South Wales,15 to 19 years,Year 11,Diploma,,-,-,-,-,5
Enterprise providers,New South Wales,15 to 19 years,Year 11,Certificate IV,,5,5,5,-,-
Enterprise providers,New South Wales,15 to 19 years,Year 11,Certificate III,,745,770,670,735,760
Enterprise providers,New South Wales,15 to 19 years,Year 11,Certificate II,,85,65,95,170,115
Enterprise providers,New South Wales,15 to 19 years,Year 11,Non-AQF level,,-,-,-,-,5
Enterprise providers,New South Wales,15 to 19 years,Certificate II,Totals,,70,60,40,35,30
Enterprise providers,New South Wales,15 to 19 years,Certificate II,Certificate III,,55,40,30,25,20
Enterprise providers,New South Wales,15 to 19 years,Certificate II,Certificate II,,15,15,10,10,5
Enterprise providers,New South Wales,15 to 19 years,Year 10,Totals,,"1,730","1,475","1,225","1,325","1,360"
Enterprise providers,New South Wales,15 to 19 years,Year 10,Diploma,,10,5,-,-,5
Enterprise providers,New South Wales,15 to 19 years,Year 10,Certificate IV,,10,10,5,5,-
Enterprise providers,New South Wales,15 to 19 years,Year 10,Certificate III,,"1,485","1,300","1,040","1,070","1,150"
Enterprise providers,New South Wales,15 to 19 years,Year 10,Certificate II,,220,160,170,245,200
Enterprise providers,New South Wales,15 to 19 years,Year 10,Non-AQF level,,-,-,5,5,5
Enterprise providers,New South Wales,15 to 19 years,Certificate I,Totals,,-,5,5,5,-
Enterprise providers,New South Wales,15 to 19 years,Certificate I,Certificate III,,-,5,5,5,-
Enterprise providers,New South Wales,15 to 19 years,Miscellaneous education,Totals,,25,15,10,15,15
Enterprise providers,New South Wales,15 to 19 years,Miscellaneous education,Certificate III,,25,10,10,15,15
Enterprise providers,New South Wales,15 to 19 years,Miscellaneous education,Certificate II,,-,-,-,-,5
Enterprise providers,New South Wales,15 to 19 years,Year 9 or lower,Totals,,645,640,840,850,790
Enterprise providers,New South Wales,15 to 19 years,Year 9 or lower,Certificate IV,,-,-,5,-,-
Enterprise providers,New South Wales,15 to 19 years,Year 9 or lower,Certificate III,,550,570,745,725,665
Enterprise providers,New South Wales,15 to 19 years,Year 9 or lower,Certificate II,,95,65,95,125,125
Enterprise providers,New South Wales,15 to 19 years,Did not go to school,Totals,,-,5,-,-,-
Enterprise providers,New South Wales,15 to 19 years,Did not go to school,Certificate II,,-,5,-,-,-
Enterprise providers,New South Wales,15 to 19 years,Not known,Totals,,200,235,125,155,225
Enterprise providers,New South Wales,15 to 19 years,Not known,Certificate IV,,-,-,-,10,10
Enterprise providers,New South Wales,15 to 19 years,Not known,Certificate III,,140,170,75,100,125
Enterprise providers,New South Wales,15 to 19 years,Not known,Certificate II,,55,65,50,40,85
Enterprise providers,New South Wales,15 to 19 years,Not known,Certificate I,,5,-,-,-,-
Enterprise providers,New South Wales,15 to 19 years,Not known,Non-AQF level,,-,5,-,5,5
Enterprise providers,Victoria,Totals,,,,"2,675","2,085","2,375","2,425","2,420"
Enterprise providers,Victoria,15 to 19 years,Totals,,,"2,675","2,085","2,375","2,425","2,420"
Enterprise providers,Victoria,15 to 19 years,Diploma,Totals,,5,-,-,-,5
Enterprise providers,Victoria,15 to 19 years,Diploma,Certificate III,,-,-,-,-,5
Enterprise providers,Victoria,15 to 19 years,Certificate IV,Totals,,10,5,5,5,5
Enterprise providers,Victoria,15 to 19 years,Certificate IV,Certificate III,,10,5,5,5,5
Enterprise providers,Victoria,15 to 19 years,Certificate III,Totals,,60,45,60,55,50
Enterprise providers,Victoria,15 to 19 years,Certificate III,Diploma,,5,5,-,-,-
Enterprise providers,Victoria,15 to 19 years,Certificate III,Certificate III,,50,40,55,45,40
Enterprise providers,Victoria,15 to 19 years,Certificate III,Certificate II,,5,-,-,5,5
Enterprise providers,Victoria,15 to 19 years,Year 12,Totals,,470,365,385,440,595
Enterprise providers,Victoria,15 to 19 years,Year 12,Diploma,,10,5,10,5,5
Enterprise providers,Victoria,15 to 19 years,Year 12,Certificate IV,,5,5,5,10,15
Enterprise providers,Victoria,15 to 19 years,Year 12,Certificate III,,420,310,285,350,515
Enterprise providers,Victoria,15 to 19 years,Year 12,Certificate II,,35,45,85,70,50
Enterprise providers,Victoria,15 to 19 years,Year 12,Non-AQF level,,-,-,-,5,10
Enterprise providers,Victoria,15 to 19 years,Year 11,Totals,,595,490,575,620,535
Enterprise providers,Victoria,15 to 19 years,Year 11,Diploma,,-,-,5,5,-
Enterprise providers,Victoria,15 to 19 years,Year 11,Certificate IV,,5,-,5,5,5
Enterprise providers,Victoria,15 to 19 years,Year 11,Certificate III,,455,385,370,470,435
Enterprise providers,Victoria,15 to 19 years,Year 11,Certificate II,,135,100,195,140,90
Enterprise providers,Victoria,15 to 19 years,Certificate II,Totals,,130,75,55,25,25
Enterprise providers,Victoria,15 to 19 years,Certificate II,Certificate III,,105,60,50,20,25
Enterprise providers,Victoria,15 to 19 years,Certificate II,Certificate II,,25,15,5,5,5
Enterprise providers,Victoria,15 to 19 years,Year 10,Totals,,875,700,720,820,735
Enterprise providers,Victoria,15 to 19 years,Year 10,Diploma,,5,-,-,-,-
Enterprise providers,Victoria,15 to 19 years,Year 10,Certificate IV,,-,-,-,-,5
Enterprise providers,Victoria,15 to 19 years,Year 10,Certificate III,,715,620,650,765,705
Enterprise providers,Victoria,15 to 19 years,Year 10,Certificate II,,155,80,65,55,30
Enterprise providers,Victoria,15 to 19 years,Miscellaneous education,Totals,,5,-,5,5,-
Enterprise providers,Victoria,15 to 19 years,Miscellaneous education,Certificate III,,5,-,5,5,-
Enterprise providers,Victoria,15 to 19 years,Year 9 or lower,Totals,,510,355,500,440,355
Enterprise providers,Victoria,15 to 19 years,Year 9 or lower,Certificate III,,405,310,405,365,330
Enterprise providers,Victoria,15 to 19 years,Year 9 or lower,Certificate II,,105,45,95,75,25
Enterprise providers,Victoria,15 to 19 years,Not known,Totals,,15,50,75,10,115
Enterprise providers,Victoria,15 to 19 years,Not known,Certificate III,,10,-,-,-,5
Enterprise providers,Victoria,15 to 19 years,Not known,Certificate II,,5,50,75,5,110
Enterprise providers,Queensland,Totals,,,,"4,480","4,590","4,145","4,270","4,325"
Enterprise providers,Queensland,15 to 19 years,Totals,,,"4,480","4,590","4,145","4,270","4,325"
Enterprise providers,Queensland,15 to 19 years,Advanced diploma / Associate degree,Totals,,-,5,-,-,-
Enterprise providers,Queensland,15 to 19 years,Advanced diploma / Associate degree,Non-AQF level,,-,5,-,-,-
Enterprise providers,Queensland,15 to 19 years,Diploma,Totals,,35,40,20,30,30
Enterprise providers,Queensland,15 to 19 years,Diploma,Diploma,,-,-,-,5,-
Enterprise providers,Queensland,15 to 19 years,Diploma,Certificate IV,,-,5,-,-,-
Enterprise providers,Queensland,15 to 19 years,Diploma,Certificate III,,25,25,20,20,20
Enterprise providers,Queensland,15 to 19 years,Diploma,Certificate II,,-,-,-,5,5
Enterprise providers,Queensland,15 to 19 years,Diploma,Non-AQF level,,-,10,-,-,-
Enterprise providers,Queensland,15 to 19 years,Certificate IV,Totals,,15,25,15,20,35
Enterprise providers,Queensland,15 to 19 years,Certificate IV,Certificate IV,,-,5,-,5,5
Enterprise providers,Queensland,15 to 19 years,Certificate IV,Certificate III,,15,15,10,15,20
Enterprise providers,Queensland,15 to 19 years,Certificate IV,Certificate II,,-,-,-,-,5
Enterprise providers,Queensland,15 to 19 years,Certificate IV,Non-AQF level,,-,-,-,-,5
Enterprise providers,Queensland,15 to 19 years,Certificate III,Totals,,345,385,235,205,215
Enterprise providers,Queensland,15 to 19 years,Certificate III,Diploma,,10,10,-,5,-
Enterprise providers,Queensland,15 to 19 years,Certificate III,Certificate IV,,10,15,10,5,5
Enterprise providers,Queensland,15 to 19 years,Certificate III,Certificate III,,200,210,210,175,160
Enterprise providers,Queensland,15 to 19 years,Certificate III,Certificate II,,45,15,15,20,30
Enterprise providers,Queensland,15 to 19 years,Certificate III,Non-AQF level,,75,140,-,5,25
Enterprise providers,Queensland,15 to 19 years,Year 12,Totals,,925,810,350,365,425
Enterprise providers,Queensland,15 to 19 years,Year 12,Diploma,,5,5,5,10,-
Enterprise providers,Queensland,15 to 19 years,Year 12,Certificate IV,,35,40,20,25,30
Enterprise providers,Queensland,15 to 19 years,Year 12,Certificate III,,435,310,270,265,255
Enterprise providers,Queensland,15 to 19 years,Year 12,Certificate II,,120,55,45,60,95
Enterprise providers,Queensland,15 to 19 years,Year 12,Certificate I,,-,-,5,-,-
Enterprise providers,Queensland,15 to 19 years,Year 12,Non-AQF level,,325,400,5,5,45
Enterprise providers,Queensland,15 to 19 years,Year 11,Totals,,445,445,395,440,485
Enterprise providers,Queensland,15 to 19 years,Year 11,Diploma,,-,10,5,-,-
Enterprise providers,Queensland,15 to 19 years,Year 11,Certificate IV,,10,20,15,15,10
Enterprise providers,Queensland,15 to 19 years,Year 11,Certificate III,,325,365,330,380,365
Enterprise providers,Queensland,15 to 19 years,Year 11,Certificate II,,110,35,30,30,90
Enterprise providers,Queensland,15 to 19 years,Year 11,Certificate I,,-,-,10,10,10
Enterprise providers,Queensland,15 to 19 years,Year 11,Non-AQF level,,-,15,5,10,10
Enterprise providers,Queensland,15 to 19 years,Certificate II,Totals,,200,190,140,125,125
Enterprise providers,Queensland,15 to 19 years,Certificate II,Certificate IV,,-,5,5,-,-
Enterprise providers,Queensland,15 to 19 years,Certificate II,Certificate III,,140,130,125,115,105
Enterprise providers,Queensland,15 to 19 years,Certificate II,Certificate II,,45,20,10,10,20
Enterprise providers,Queensland,15 to 19 years,Certificate II,Non-AQF level,,10,35,-,-,-
Enterprise providers,Queensland,15 to 19 years,Year 10,Totals,,"1,680","1,730","1,865","1,620","1,330"
Enterprise providers,Queensland,15 to 19 years,Year 10,Certificate IV,,165,190,145,90,45
Enterprise providers,Queensland,15 to 19 years,Year 10,Certificate III,,"1,310","1,430","1,605","1,360","1,105"
Enterprise providers,Queensland,15 to 19 years,Year 10,Certificate II,,200,95,90,100,135
Enterprise providers,Queensland,15 to 19 years,Year 10,Certificate I,,-,5,25,50,35
Enterprise providers,Queensland,15 to 19 years,Year 10,Non-AQF level,,-,10,5,25,15
Enterprise providers,Queensland,15 to 19 years,Certificate I,Totals,,30,20,25,20,20
Enterprise providers,Queensland,15 to 19 years,Certificate I,Certificate IV,,5,-,5,5,-
Enterprise providers,Queensland,15 to 19 years,Certificate I,Certificate III,,25,15,20,15,20
Enterprise providers,Queensland,15 to 19 years,Certificate I,Certificate II,,5,5,-,-,-
Enterprise providers,Queensland,15 to 19 years,Miscellaneous education,Totals,,30,15,15,15,20
Enterprise providers,Queensland,15 to 19 years,Miscellaneous education,Certificate III,,30,15,10,10,15
Enterprise providers,Queensland,15 to 19 years,Miscellaneous education,Certificate II,,-,-,5,-,5
