Provider type,State/territory of delivery location,Age group,Previous highest education level,Level of education, Year, 2019, 2020, 2021, 2022, 2023
TAFE institutes,Victoria,15 to 19 years,Year 10,Certificate I,,795,600,355,335,240
TAFE institutes,Victoria,15 to 19 years,Year 10,Non-AQF level,,25,50,65,100,135
TAFE institutes,Victoria,15 to 19 years,Certificate I,Totals,,130,100,105,55,60
TAFE institutes,Victoria,15 to 19 years,Certificate I,Certificate IV,,5,-,-,-,-
TAFE institutes,Victoria,15 to 19 years,Certificate I,Certificate III,,30,25,20,20,20
TAFE institutes,Victoria,15 to 19 years,Certificate I,Certificate II,,50,55,50,20,20
TAFE institutes,Victoria,15 to 19 years,Certificate I,Certificate I,,45,20,30,10,20
TAFE institutes,Victoria,15 to 19 years,Miscellaneous education,Totals,,85,60,50,25,40
TAFE institutes,Victoria,15 to 19 years,Miscellaneous education,Certificate III,,50,35,30,20,20
TAFE institutes,Victoria,15 to 19 years,Miscellaneous education,Certificate II,,30,20,20,10,15
TAFE institutes,Victoria,15 to 19 years,Miscellaneous education,Certificate I,,-,5,5,-,5
TAFE institutes,Victoria,15 to 19 years,Year 9 or lower,Totals,,"5,430","5,105","5,230","5,370","5,840"
TAFE institutes,Victoria,15 to 19 years,Year 9 or lower,Diploma,,15,15,10,5,15
TAFE institutes,Victoria,15 to 19 years,Year 9 or lower,Certificate IV,,65,45,30,25,40
TAFE institutes,Victoria,15 to 19 years,Year 9 or lower,Certificate III,,"1,890","2,020","2,345","2,565","2,705"
TAFE institutes,Victoria,15 to 19 years,Year 9 or lower,Certificate II,,"3,010","2,800","2,680","2,475","2,755"
TAFE institutes,Victoria,15 to 19 years,Year 9 or lower,Certificate I,,420,200,150,215,195
TAFE institutes,Victoria,15 to 19 years,Year 9 or lower,Non-AQF level,,30,25,15,80,130
TAFE institutes,Victoria,15 to 19 years,Did not go to school,Totals,,335,175,100,145,170
TAFE institutes,Victoria,15 to 19 years,Did not go to school,Diploma,,15,5,-,-,-
TAFE institutes,Victoria,15 to 19 years,Did not go to school,Certificate IV,,30,10,5,5,5
TAFE institutes,Victoria,15 to 19 years,Did not go to school,Certificate III,,80,55,30,45,45
TAFE institutes,Victoria,15 to 19 years,Did not go to school,Certificate II,,105,55,35,40,40
TAFE institutes,Victoria,15 to 19 years,Did not go to school,Certificate I,,80,40,20,30,45
TAFE institutes,Victoria,15 to 19 years,Did not go to school,Non-AQF level,,25,10,10,20,35
TAFE institutes,Victoria,15 to 19 years,Not known,Totals,,"2,295","1,060","1,345","1,995","2,110"
TAFE institutes,Victoria,15 to 19 years,Not known,Advanced diploma,,5,-,-,5,-
TAFE institutes,Victoria,15 to 19 years,Not known,Diploma,,20,15,-,5,10
TAFE institutes,Victoria,15 to 19 years,Not known,Certificate IV,,35,25,10,20,20
TAFE institutes,Victoria,15 to 19 years,Not known,Certificate III,,"1,105",540,630,965,"1,085"
TAFE institutes,Victoria,15 to 19 years,Not known,Certificate II,,"1,095",380,540,725,815
TAFE institutes,Victoria,15 to 19 years,Not known,Certificate I,,25,15,40,20,60
TAFE institutes,Victoria,15 to 19 years,Not known,Non-AQF level,,5,80,130,255,115
TAFE institutes,Queensland,Totals,,,,"41,610","42,700","48,580","49,685","50,170"
TAFE institutes,Queensland,15 to 19 years,Totals,,,"41,610","42,700","48,580","49,685","50,170"
TAFE institutes,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Totals,,-,10,20,15,15
TAFE institutes,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Diploma,,-,-,5,-,5
TAFE institutes,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,-,5,10,10,5
TAFE institutes,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Certificate II,,-,5,-,-,5
TAFE institutes,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Certificate I,,-,5,5,-,-
TAFE institutes,Queensland,15 to 19 years,Advanced diploma / Associate degree,Totals,,10,20,15,15,10
TAFE institutes,Queensland,15 to 19 years,Advanced diploma / Associate degree,Diploma,,-,5,5,-,-
TAFE institutes,Queensland,15 to 19 years,Advanced diploma / Associate degree,Certificate III,,5,5,5,5,5
TAFE institutes,Queensland,15 to 19 years,Advanced diploma / Associate degree,Certificate II,,5,10,5,-,-
TAFE institutes,Queensland,15 to 19 years,Diploma,Totals,,175,250,315,260,215
TAFE institutes,Queensland,15 to 19 years,Diploma,Advanced diploma,,-,5,5,-,-
TAFE institutes,Queensland,15 to 19 years,Diploma,Diploma,,70,90,115,90,70
TAFE institutes,Queensland,15 to 19 years,Diploma,Certificate IV,,5,15,15,25,25
TAFE institutes,Queensland,15 to 19 years,Diploma,Certificate III,,60,80,105,90,90
TAFE institutes,Queensland,15 to 19 years,Diploma,Certificate II,,25,40,50,45,20
TAFE institutes,Queensland,15 to 19 years,Diploma,Certificate I,,10,15,15,15,10
TAFE institutes,Queensland,15 to 19 years,Diploma,Non-AQF level,,5,5,5,5,-
TAFE institutes,Queensland,15 to 19 years,Certificate IV,Totals,,130,225,260,245,205
TAFE institutes,Queensland,15 to 19 years,Certificate IV,Diploma,,35,75,90,95,75
TAFE institutes,Queensland,15 to 19 years,Certificate IV,Certificate IV,,50,70,85,65,55
TAFE institutes,Queensland,15 to 19 years,Certificate IV,Certificate III,,35,50,55,50,45
TAFE institutes,Queensland,15 to 19 years,Certificate IV,Certificate II,,5,25,20,25,15
TAFE institutes,Queensland,15 to 19 years,Certificate IV,Certificate I,,5,5,5,5,5
TAFE institutes,Queensland,15 to 19 years,Certificate IV,Non-AQF level,,-,-,5,5,5
TAFE institutes,Queensland,15 to 19 years,Certificate III,Totals,,"2,210","2,390","2,865","3,050","2,390"
TAFE institutes,Queensland,15 to 19 years,Certificate III,Advanced diploma,,5,-,5,5,5
TAFE institutes,Queensland,15 to 19 years,Certificate III,Diploma,,675,710,815,925,715
TAFE institutes,Queensland,15 to 19 years,Certificate III,Certificate IV,,150,210,230,325,235
TAFE institutes,Queensland,15 to 19 years,Certificate III,Certificate III,,990,"1,010","1,280","1,305","1,075"
TAFE institutes,Queensland,15 to 19 years,Certificate III,Certificate II,,275,325,390,320,265
TAFE institutes,Queensland,15 to 19 years,Certificate III,Certificate I,,75,105,120,140,80
TAFE institutes,Queensland,15 to 19 years,Certificate III,Non-AQF level,,35,30,25,25,20
TAFE institutes,Queensland,15 to 19 years,Year 12,Totals,,"10,180","8,865","9,415","8,630","8,750"
TAFE institutes,Queensland,15 to 19 years,Year 12,Advanced diploma,,25,10,10,15,15
TAFE institutes,Queensland,15 to 19 years,Year 12,Diploma,,"1,945","1,575","1,640","1,345","1,530"
TAFE institutes,Queensland,15 to 19 years,Year 12,Certificate IV,,385,375,430,450,655
TAFE institutes,Queensland,15 to 19 years,Year 12,Certificate III,,"5,470","4,710","4,960","4,880","4,755"
TAFE institutes,Queensland,15 to 19 years,Year 12,Certificate II,,"1,700","1,430","1,495","1,160","1,185"
TAFE institutes,Queensland,15 to 19 years,Year 12,Certificate I,,480,640,735,670,495
TAFE institutes,Queensland,15 to 19 years,Year 12,Non-AQF level,,175,125,145,115,110
TAFE institutes,Queensland,15 to 19 years,Year 11,Totals,,"4,165","5,010","5,645","6,445","6,425"
TAFE institutes,Queensland,15 to 19 years,Year 11,Advanced diploma,,-,5,-,5,-
TAFE institutes,Queensland,15 to 19 years,Year 11,Diploma,,195,190,255,275,310
TAFE institutes,Queensland,15 to 19 years,Year 11,Certificate IV,,185,145,190,210,270
TAFE institutes,Queensland,15 to 19 years,Year 11,Certificate III,,"1,640","1,700","1,875","2,445","2,575"
TAFE institutes,Queensland,15 to 19 years,Year 11,Certificate II,,"1,720","2,515","2,745","3,000","2,835"
TAFE institutes,Queensland,15 to 19 years,Year 11,Certificate I,,310,345,510,440,385
TAFE institutes,Queensland,15 to 19 years,Year 11,Non-AQF level,,115,115,65,70,55
TAFE institutes,Queensland,15 to 19 years,Certificate II,Totals,,690,655,860,955,905
TAFE institutes,Queensland,15 to 19 years,Certificate II,Diploma,,15,20,35,40,40
TAFE institutes,Queensland,15 to 19 years,Certificate II,Certificate IV,,25,20,30,30,25
TAFE institutes,Queensland,15 to 19 years,Certificate II,Certificate III,,255,260,330,440,420
TAFE institutes,Queensland,15 to 19 years,Certificate II,Certificate II,,315,300,375,365,370
TAFE institutes,Queensland,15 to 19 years,Certificate II,Certificate I,,65,50,75,75,45
TAFE institutes,Queensland,15 to 19 years,Certificate II,Non-AQF level,,15,5,15,10,5
TAFE institutes,Queensland,15 to 19 years,Year 10,Totals,,"11,655","12,420","15,110","14,425","15,270"
TAFE institutes,Queensland,15 to 19 years,Year 10,Advanced diploma,,5,5,-,5,-
TAFE institutes,Queensland,15 to 19 years,Year 10,Diploma,,260,285,365,360,435
TAFE institutes,Queensland,15 to 19 years,Year 10,Certificate IV,,305,335,335,305,390
TAFE institutes,Queensland,15 to 19 years,Year 10,Certificate III,,"3,315","3,685","4,550","4,865","4,820"
TAFE institutes,Queensland,15 to 19 years,Year 10,Certificate II,,"5,650","5,965","7,600","7,025","7,985"
